Script started on 2026-04-22 15:20:31+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && sudo PYTHONPATH=. python3 -u main.py --mode server --config config_phase1.json" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[SERVER] Listening on 172.31.77.14:50000
[SERVER][DEBUG] raw packet len=76
[SERVER][DEBUG] raw packet len=76
[SERVER][DEBUG] raw packet len=83
[SERVER][DEBUG] accepted REQ for './gdrive-folder/test_800mb_file'
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 30
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 57
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 81
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 105
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 157
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 200
[SERVER] retransmitted DATA seq 157
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 225
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 251
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 278
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 303
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 303

[SERVER][DEBUG] accepted ACK 328
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 354
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 379
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 404
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 430
[SERVER] retransmitted DATA seq 430[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 455

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 480
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 506
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 530
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 551
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 597[SERVER] retransmitted DATA seq 551

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 641
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 666
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 688
[SERVER] retransmitted DATA seq 688[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 714

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 739
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 763
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 789
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 814
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 814

