Script started on 2026-04-22 15:15:49+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && sudo PYTHONPATH=. python3 -u main.py --mode server --config config_phase1.json" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[SERVER] Listening on 172.31.77.14:50000
[SERVER][DEBUG] raw packet len=82
[SERVER][DEBUG] accepted REQ for './gdrive-folder/test_10mb_file'
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 16
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 46
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 74
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 103
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 131
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 161
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 161

[SERVER][DEBUG] accepted ACK 188
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 217
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 245
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 273
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 301
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 301
[SERVER][DEBUG] accepted ACK 329
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 358
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 387
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 414
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 443
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 443[SERVER][DEBUG] accepted ACK 470

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 499
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 525
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 553
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 580
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 580[SERVER][DEBUG] accepted ACK 607

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 635
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 661
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 687
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 714
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 745
[SERVER] retransmitted DATA seq 714
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 772
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 799
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 825
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 853
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 880
[SERVER] retransmitted DATA seq 853
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 907
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 934
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 959
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 987
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1014
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 1014

[SERVER][DEBUG] accepted ACK 1042
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1069
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1095
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1123
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1150
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 1150

[SERVER][DEBUG] accepted ACK 1178
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1205
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1231
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1258
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1285
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1313
[SERVER] retransmitted DATA seq 1285
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1341
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1367
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1394
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1421
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1448
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 1448

[SERVER][DEBUG] accepted ACK 1475
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1504
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1531
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1558
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1586
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1613
[SERVER] retransmitted DATA seq 1586
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1640
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1666
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1696
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1724
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 1724[SERVER][DEBUG] accepted ACK 1751

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1778
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1804
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1832
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1859
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1886
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1914
[SERVER] retransmitted DATA seq 1886
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1941
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1965
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1993
[SERVER][DEBUG] raw packet len=60
